#,Job_ID,Reserved,v1: Lighting Electricity [kWh],s1: Electricity [kWh],s1: normalized,t1: Heating [kWh],t2: Cooling [kWh]
0,LHS-000016,,69247.152,139270.518,0.1309017266666667,35197.08890609333,37798.271252508894
0,LHS-000017,,78288.912,121317.40800000001,0.0710580266666667,45456.55771351583,29936.69492264361
0,LHS-000018,,69247.152,162182.98799999998,0.2072766266666666,61887.37276210694,22201.43640243703
0,LHS-000670,,101576.59199999999,182979.648,0.27659882666666663,34673.9585314725,55429.061218088056
0,LHS-000800,,35195.472,116598.528,0.05532842666666669,65663.75241504889,67012.61757431972
0,LHS-000019,,18534.672000000002,61563.168000000005,0.0,30052.98953753778,20965.30572937972
0,LHS-000671,,52436.592,145372.428,0.1512414266666667,115323.09903347,54657.05605489945
0,LHS-000801,,51790.75199999999,166171.94549999997,0.22057315166666658,164669.98995355892,16669.726639463363
0,LHS-000672,,68386.03199999999,104550.993,0.015169976666666673,33051.290078444996,51335.48498333
0,LHS-000673,,68386.03199999999,114910.083,0.04970027666666666,98172.99714135195,26590.664113314557
0,LHS-000674,,63350.352,106378.848,0.02126282666666666,99907.2980120475,9305.227716672805
0,LHS-000675,,93227.472,156616.938,0.18872312666666666,102715.94392237805,27927.265822906385
0,LHS-000676,,68386.03199999999,160148.17799999999,0.20049392666666663,43874.711438636106,61257.478700509455
0,LHS-000677,,18600.192,87743.2905,0.0,166219.37603901696,20355.37417687614
0,LHS-000010,,33473.232,76501.728,0.0,122836.91105368195,15586.656949393917
0,LHS-000678,,84981.31199999999,199362.5055,0.3312083516666667,21718.439867340247,57360.615243933615
0,LHS-000011,,51790.75199999999,133193.808,0.11064602666666663,20735.197089768473,63858.147309781394
0,LHS-000679,,63350.352,106378.848,0.02126282666666666,81141.62663330472,33381.58724401417
0,LHS-000290,,18600.192,54765.153000000006,0.0,16649.107652524694,90206.55165123695
0,LHS-000012,,48411.791999999994,91440.288,0.0,61818.267868297226,23522.656246748335
0,LHS-000292,,93227.472,115894.998,0.05298332666666669,81509.06710535806,35454.03377696306
0,LHS-000291,,18600.192,122622.29550000001,0.07540765166666669,57595.19675920472,20177.140791234728
0,LHS-000294,,93227.472,156616.938,0.18872312666666666,28136.955032011945,38117.32692755917
0,LHS-000293,,35195.472,81719.523,0.0,116113.775845275,10057.700996789445
0,LHS-000296,,63350.352,106378.848,0.02126282666666666,38038.98369520583,49039.661380396115
0,LHS-000295,,35626.032,151474.338,0.17158112666666664,86048.05605501389,36762.95748656222
0,LHS-000298,,86057.712,156081.07799999998,0.1869369266666666,34620.93118023778,90624.89570111055
0,LHS-000297,,69247.152,162182.98799999998,0.2072766266666666,37638.62971843111,63740.84194558667
0,LHS-000299,,101576.59199999999,148100.643,0.1603354766666667,47405.02132486612,36979.865202263056
0,LHS-000026,,35195.472,71360.433,0.0,195008.5095352078,4054.574519962917
0,LHS-000027,,93227.472,115894.998,0.05298332666666669,91184.07295882111,26772.34117563286
0,LHS-000024,,35195.472,116598.528,0.05532842666666669,81576.97703303362,27321.792316493
0,LHS-000025,,35195.472,104338.5705,0.014461901666666672,17696.63274618161,45316.25360742833
0,LHS-000682,,18534.672000000002,102285.10800000001,0.007617026666666691,170821.64754192112,13499.627815942027
0,LHS-000683,,102868.272,149979.16799999998,0.1665972266666666,161577.2984379325,21683.782170667
0,LHS-000028,,93227.472,115894.998,0.05298332666666669,117730.87798260082,21721.45821714278
0,LHS-000680,,84981.31199999999,121146.273,0.07048757666666668,89609.07538310807,18452.294117979334
0,LHS-000029,,51790.75199999999,120933.8505,0.06977950166666667,21142.843864257364,33675.43567711111
0,LHS-000681,,69247.152,139270.518,0.1309017266666667,48467.868962791115,49017.39844314389
0,LHS-000686,,18815.472,134663.778,0.11554592666666663,22887.723483898415,49835.17482647055
0,LHS-000687,,69247.152,116358.04800000001,0.0545268266666667,128640.96433074861,9408.408904521306
0,LHS-000684,,102868.272,172891.63799999998,0.2429721266666666,24246.84826354025,66975.57775333972
0,LHS-000685,,33473.232,56140.758,0.0,191927.5445926161,8877.950250038417
0,LHS-000022,,18600.192,87743.2905,0.0,60621.99493628639,11192.161580585944
0,LHS-000023,,69247.152,116358.04800000001,0.0545268266666667,140617.15178602084,8507.52544070236
0,LHS-000020,,101576.59199999999,193338.73799999998,0.3111291266666666,88721.28914489056,29845.43797572722
0,LHS-000688,,51790.75199999999,120933.8505,0.06977950166666667,59738.75008599556,34413.69828252861
0,LHS-000021,,69247.152,185095.45799999998,0.2836515266666666,48075.64084952834,42335.02788632639
0,LHS-000689,,48411.791999999994,91440.288,0.0,131435.3131733422,11608.203131220249
0,LHS-000401,,35195.472,71360.433,0.0,110406.96025948835,8432.290557762444
0,LHS-000400,,101576.59199999999,182979.648,0.27659882666666663,55937.03626102944,87591.22429528416
0,LHS-000405,,52436.592,145372.428,0.1512414266666667,34019.76087270861,65755.1466317125
0,LHS-000404,,35626.032,82736.928,0.0,72603.17371411306,21532.238831068305
0,LHS-000403,,86057.712,156081.07799999998,0.1869369266666666,77113.6879508875,38582.939558971666
0,LHS-000402,,35195.472,81719.523,0.0,113208.36648291168,19706.959372521498
0,LHS-000820,,101576.59199999999,215957.7855,0.38652595166666665,24665.32025366378,76113.81828798527
0,LHS-000691,,33473.232,56140.758,0.0,187798.73911539695,3271.154532512583
0,LHS-000821,,18600.192,100003.248,1.0826666666689561E-5,46087.88649603611,30125.20413774583
0,LHS-000692,,18534.672000000002,81924.138,0.0,81535.2974937425,31957.464269806114
0,LHS-000822,,18815.472,111751.308,0.039171026666666685,41654.25454199472,32574.096043343332
0,LHS-000693,,84981.31199999999,154124.4105,0.18041470166666665,62273.18414878805,19976.302758367252
0,LHS-000823,,18600.192,100003.248,1.0826666666689561E-5,83350.76910734641,20450.103355607585
0,LHS-000694,,68386.03199999999,137529.1305,0.12509710166666665,53131.41739318528,22419.314721178445
0,LHS-000690,,35626.032,105649.398,0.01883132666666667,102398.01806329361,12287.671389120167
0,LHS-000699,,84981.31199999999,166384.368,0.22128122666666664,21506.225600480528,48324.667610367775
