#,Job_ID,WeatherFile, ModelFile, @@building_fabrics@@, @@orientation@@, @@glazing_ratio@@, @@glazing_coating@@, @@overhang@@, @@infiltration_rate@@, @@fresh_air@@, @@lighting_density@@, @@equipment_open@@, @@occupancy_open@@,Message, Warnings, Errors, Hours, Minutes, Seconds,c0: InteriorLights:Electricity [J](RunPeriod),c1: InteriorEquipment:Electricity [J](RunPeriod),c2: Heating:DistrictHeating [J](RunPeriod),c3: Cooling:DistrictCooling [J](RunPeriod)
301,LHS-000301,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF2,0,75, Reflective, none,0.5,0.02,8,20,12,EnergyPlus Completed Successfully,2,0,0,0,9.78,1.27E+11,3.30E+11,3.89E+11,8.62E+10
302,LHS-000302,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF1,0,75, Reflective, Overhang,0.1,0.02,4,25,9,EnergyPlus Completed Successfully,2,0,0,0,11.64,6.70E+10,4.12E+11,5.85E+11,6.46E+10
303,LHS-000303,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,45,50, Reflective, none,0.3,0.005,8,15,15,EnergyPlus Completed Successfully,2,0,0,0,23.09,1.27E+11,2.12E+11,7.19E+10,1.59E+11
304,LHS-000304,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF1,45,75, Non_reflective, Overhang,0.9,0.02,24,20,15,EnergyPlus Completed Successfully,2,0,0,0,13.65,3.36E+11,2.28E+11,6.08E+11,1.25E+11
305,LHS-000305,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF2,90,75, Non_reflective, none,0.5,0.005,4,15,6,EnergyPlus Completed Successfully,2,0,0,0,13.66,6.70E+10,2.49E+11,2.30E+11,1.84E+11
306,LHS-000306,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF1,180,50, Reflective, none,0.9,0.015,24,15,12,EnergyPlus Completed Successfully,2,0,0,0,12.01,3.66E+11,2.49E+11,5.90E+11,6.32E+10
307,LHS-000307,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF4,45,25, Reflective, none,0.3,0.02,20,10,12,EnergyPlus Completed Successfully,2,0,0,0,9.49,3.10E+11,1.70E+11,2.05E+11,8.32E+10
308,LHS-000308,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,0,50, Reflective, Overhang,0.3,0.02,20,15,9,EnergyPlus Completed Successfully,2,0,0,0,18.41,3.06E+11,2.12E+11,2.31E+11,1.08E+11
309,LHS-000309,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF1,135,25, Reflective, Overhang,0.1,0.02,4,15,12,EnergyPlus Completed Successfully,2,0,0,0,12.66,6.77E+10,2.52E+11,5.77E+11,1.94E+10
310,LHS-000310,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,135,25, Non_reflective, Overhang,0.7,0.02,12,20,9,EnergyPlus Completed Successfully,2,0,0,0,16.56,1.86E+11,2.93E+11,3.28E+11,6.68E+10
