#, Job_ID, Date/Time, EMS:Bedroom Zones Overheating While Occupied [](RunPeriod), EMS:Living Zones Overheating While Occupied [](RunPeriod), EMS:Bedroom Zones Overheating Severity While Occupied [](RunPeriod), EMS:Living Zones Overheating Severity While Occupied [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod)
25, LHS-000025, simdays=365, 83., 205.5, 165.429353717465, 312.25245817608, 47.5, 75.1437730728662, 25.3333333333333, 39.9275231701342, 15., 19.9141808670734, 288., 404.542968242712, 163.166666666667, 186.252471360347, 70.8333333333333, 72.7289756403882 
26, LHS-000026, simdays=365, 76.6666666666667, 172., 88.711389535747, 223.621156493561, 12.8333333333333, 9.61394732500787, 3.83333333333333, 2.21371856132448, 0.833333333333333, 0.166509418475817, 276.666666666667, 275.609620882676, 112.166666666667, 88.4018107756707, 34.6666666666667, 21.8529617491461 
27, LHS-000027, simdays=365, 574.166666666667, 638.666666666667, 1154.55882449051, 1149.93780859698, 340.833333333333, 385.31828063814, 158.5, 138.53645967122, 54.5, 39.1599885779697, 931.666666666667, 1593.97304756865, 628.333333333333, 816.96781255472, 346.666666666667, 330.85817618816 
28, LHS-000028, simdays=365, 36.8333333333333, 92.3333333333333, 41.3645796843369, 119.914842122092, 4., 2.16438000419101, 0.5, 5.096890229347473E-002, 0.0, 0.0, 146.166666666667, 158.507440282865, 64.6666666666667, 52.0376537385943, 21.8333333333333, 12.3409663930661 
29, LHS-000029, simdays=365, 16.8333333333333, 80.3333333333333, 19.5953290352303, 107.148770055081, 2.16666666666667, 0.934031189303703, 0.166666666666667, 2.376913020435308E-002, 0.0, 0.0, 121.333333333333, 102.976155454548, 40.3333333333333, 28.2579401002767, 10.6666666666667, 6.11660767587937 
30, LHS-000030, simdays=365, 55.1666666666667, 141.166666666667, 58.8170032158979, 181.286785848749, 5.5, 3.31196419514871, 1.16666666666667, 0.251582175273655, 0.0, 0.0, 237.166666666667, 236.035490347516, 90.8333333333333, 71.3345613474616, 28.5, 18.2310311139497 
31, LHS-000031, simdays=365, 25., 89.1666666666667, 27.5866300830405, 115.902811955296, 3.5, 1.62899150088509, 0.166666666666667, 5.875116576689621E-002, 0.0, 0.0, 129., 106.824026167366, 36.8333333333333, 24.9382143449641, 9., 5.62181072752426 
32, LHS-000032, simdays=365, 19.6666666666667, 75.8333333333333, 24.0017195571538, 101.715578891752, 2.83333333333333, 1.5271939379251, 0.5, 8.580909200791827E-002, 0.0, 0.0, 121.333333333333, 123.972292127243, 45.5, 41.2599252209237, 18., 11.254559692792 
33, LHS-000033, simdays=365, 34.3333333333333, 79.3333333333333, 52.0111947342276, 108.93578774092, 12.3333333333333, 12.9709668039368, 5., 4.56641491502624, 1.83333333333333, 1.24485354855594, 116.333333333333, 106.817299938162, 41.5, 31.1833539657038, 11.1666666666667, 9.17330109794651 
34, LHS-000034, simdays=365, 11.6666666666667, 50.5, 11.9792865271616, 62.1120526964428, 0.166666666666667, 1.624663004445873E-002, 0.0, 0.0, 0.0, 0.0, 86.1666666666667, 75.8841597277782, 33.3333333333333, 22.8156120837049, 7.33333333333333, 3.11876543250755 
